Date,Price,Open,High,Low,Vol.,Change %
12-07-2023,2355.8,2233.45,2381.65,2224.61,518.61K,5.48%
12-06-2023,2233.45,2293.36,2310.2,2223.15,431.57K,-2.61%
12-05-2023,2293.34,2243.3,2302.29,2190.96,561.41K,2.22%
12-04-2023,2243.54,2192.79,2272.26,2191.43,601.45K,2.31%
12-03-2023,2192.79,2164.79,2215.46,2150.58,279.65K,1.29%
12-02-2023,2164.79,2087.21,2179.73,2086.29,344.20K,3.72%
12-01-2023,2087.21,2051.59,2109.32,2045.39,402.51K,1.74%
11/30/2023,2051.56,2028.99,2054.33,2021.44,252.49K,1.11%
11/29/2023,2028.99,2048.47,2071.36,2020.31,269.97K,-0.95%
11/28/2023,2048.47,2027.51,2074.79,1996.19,312.94K,1.03%
11/27/2023,2027.51,2062.3,2071.13,1987.43,354.28K,-1.70%
11/26/2023,2062.64,2082.91,2092.8,2038.28,259.79K,-0.98%
11/25/2023,2083.09,2080.63,2089.64,2065.17,154.35K,0.12%
11/24/2023,2080.62,2061.92,2129.2,2059.23,460.97K,0.91%
11/23/2023,2061.92,2063.05,2088.2,2040.66,264.01K,-0.06%
11/22/2023,2063.05,1934.62,2090.01,1930.66,506.35K,6.64%
11/21/2023,1934.62,2021.49,2034.51,1932.5,527.41K,-4.30%
11/20/2023,2021.49,2011.02,2064.05,1994.89,455.23K,0.52%
11/19/2023,2011.01,1961.72,2014.93,1943.63,269.02K,2.51%
11/18/2023,1961.72,1960.8,1971.02,1920.13,298.88K,0.05%
11/17/2023,1960.8,1961.77,1990.24,1908.24,430.92K,-0.05%
11/16/2023,1961.76,2058.93,2089.44,1940.44,585.12K,-4.72%
11/15/2023,2058.93,1979.4,2060.95,1967.97,455.57K,4.03%
11/14/2023,1979.1,2054.15,2064.51,1943.01,521.22K,-3.66%
11/13/2023,2054.18,2044.61,2115.24,2031.01,578.44K,0.47%
11-12-2023,2044.61,2053.4,2065.35,2020.76,354.64K,-0.43%
11-11-2023,2053.42,2077.72,2089.24,2033.56,405.96K,-1.17%
11-10-2023,2077.78,2120.16,2135.91,2068.79,640.31K,-2.00%
11-09-2023,2120.16,1888.42,2131.31,1882.91,1.21M,12.22%
11-08-2023,1889.29,1885.95,1903.67,1873.47,265.08K,0.18%
11-07-2023,1885.97,1900.98,1906.55,1852.05,370.10K,-0.79%
11-06-2023,1900.98,1891.81,1913.13,1870,359.00K,0.46%
11-05-2023,1892.36,1855.72,1911,1846.57,418.91K,1.97%
11-04-2023,1855.72,1832.31,1868.52,1824.4,190.18K,1.28%
11-03-2023,1832.29,1800.28,1834.16,1779.79,337.00K,1.78%
11-02-2023,1800.27,1846.6,1873.02,1789,398.43K,-2.51%
11-01-2023,1846.6,1815.12,1857,1783.98,509.01K,1.73%
10/31/2023,1815.13,1809.05,1819.43,1783.32,279.11K,0.34%
10/30/2023,1809.05,1794.96,1829.47,1778.59,304.47K,0.78%
10/29/2023,1794.96,1776.21,1809.98,1764.08,156.39K,1.06%
10/28/2023,1776.21,1779.54,1801.12,1772.08,134.10K,-0.19%
10/27/2023,1779.54,1803.38,1803.63,1751.77,298.24K,-1.31%
10/26/2023,1803.13,1787,1864.81,1764.43,471.17K,0.90%
10/25/2023,1787,1784.88,1814.21,1761.39,389.39K,0.12%
10/24/2023,1784.88,1763.79,1853.31,1757.32,750.21K,1.20%
10/23/2023,1763.75,1663.35,1791.99,1657.57,672.28K,6.04%
10/22/2023,1663.35,1628.94,1667.5,1623.29,246.68K,2.11%
10/21/2023,1628.94,1603.89,1642.33,1592.41,188.94K,1.56%
10/20/2023,1603.89,1566.78,1629.26,1561.62,343.61K,2.37%
10/19/2023,1566.79,1563.43,1573.48,1543.87,238.42K,0.21%
10/18/2023,1563.43,1564.99,1583.77,1556.15,199.43K,-0.10%
10/17/2023,1564.99,1599.48,1600.49,1553.63,250.22K,-2.16%
10/16/2023,1599.48,1557.79,1635.46,1555.13,452.69K,2.69%
10/15/2023,1557.66,1554.96,1565.8,1550.05,128.70K,0.17%
10/14/2023,1554.96,1552.17,1559.94,1545.32,107.26K,0.18%
10/13/2023,1552.17,1539.7,1574.08,1538.07,208.91K,0.81%
10-12-2023,1539.7,1566.88,1568.47,1523.78,260.59K,-1.73%
10-11-2023,1566.88,1567.62,1578.16,1549.16,279.01K,-0.05%
10-10-2023,1567.6,1579.77,1593.73,1552.34,255.41K,-0.77%
10-09-2023,1579.74,1632.85,1635.13,1550.1,372.11K,-3.25%
10-08-2023,1632.85,1633.58,1641.3,1616.8,159.27K,-0.04%
10-07-2023,1633.58,1640.59,1643.25,1630.18,107.55K,-0.73%
10-06-2023,1645.62,1611.58,1659.99,1611.58,238.24K,2.11%
10-05-2023,1611.58,1646.61,1654.03,1609.54,253.05K,-2.15%
10-04-2023,1647.05,1656.88,1657.61,1630.48,243.08K,-0.59%
10-03-2023,1656.88,1662.79,1670.45,1644.05,216.11K,-0.36%
10-02-2023,1662.79,1732.9,1742.42,1638.04,412.81K,-4.05%
10-01-2023,1732.89,1670.92,1741.94,1668.94,245.32K,3.71%
09/30/2023,1670.92,1667.71,1693.68,1666.25,147.60K,0.19%
09/29/2023,1667.72,1652.89,1686.63,1648.47,273.45K,0.90%
09/28/2023,1652.89,1598.53,1667.61,1598.16,354.03K,3.40%
09/27/2023,1598.49,1594.05,1633.5,1585.28,307.59K,0.28%
09/26/2023,1594.04,1588.62,1597.67,1580.6,141.61K,0.34%
09/25/2023,1588.62,1580.55,1596.57,1564.7,191.41K,0.51%
09/24/2023,1580.55,1593.89,1600.37,1573.94,144.30K,-0.84%
09/23/2023,1593.89,1593.1,1597.96,1587.79,69.31K,0.05%
09/22/2023,1593.1,1584.03,1601.79,1578.78,135.12K,0.57%
09/21/2023,1584.03,1622.28,1625.31,1569.03,264.25K,-2.36%
09/20/2023,1622.28,1643.14,1649.17,1610.14,253.88K,-1.27%
09/19/2023,1643.08,1636.88,1659.53,1627.31,201.84K,0.38%
09/18/2023,1636.92,1622.63,1668.87,1609.69,302.35K,0.88%
09/17/2023,1622.65,1634.41,1635,1612.87,127.49K,-0.72%
09/16/2023,1634.41,1641.31,1650.04,1631.74,107.11K,-0.42%
09/15/2023,1641.31,1626.49,1652.4,1612.25,194.29K,0.91%
09/14/2023,1626.49,1607.63,1639.23,1607.08,293.64K,1.17%
09/13/2023,1607.63,1592.5,1614.43,1582.03,238.31K,0.95%
09-12-2023,1592.5,1551.89,1617.39,1549.71,354.59K,2.62%
09-11-2023,1551.89,1617.44,1618.8,1533.95,444.95K,-4.05%
09-10-2023,1617.44,1635.56,1635.72,1604.26,220.97K,-1.11%
09-09-2023,1635.56,1636.45,1637.21,1630.12,63.97K,-0.05%
09-08-2023,1636.45,1648.09,1657.53,1618.39,236.38K,-0.71%
09-07-2023,1648.09,1633.18,1658.04,1624.07,243.55K,0.91%
09-06-2023,1633.18,1634.46,1667.08,1610.49,240.73K,-0.08%
09-05-2023,1634.46,1630.53,1647.67,1610.02,219.79K,0.24%
09-04-2023,1630.51,1635.86,1643.31,1618.49,178.25K,-0.33%
09-03-2023,1635.85,1637.05,1645.16,1625.61,124.14K,-0.07%
09-02-2023,1637.05,1629,1644.63,1628.11,109.03K,0.49%
09-01-2023,1629,1645.82,1654.39,1603.67,319.19K,-1.02%
08/31/2023,1645.82,1705.23,1723.95,1634.74,355.27K,-3.48%
08/30/2023,1705.22,1729.69,1730.71,1696.99,218.44K,-1.41%
